winery,wine,year,rating,num_review,country,region,price,type,body,acidity
Marqués de Cáceres,Rioja Satinela Blanco Semidulce,2021,"4,0",67,España,Rioja,"5,30",Vino blanco,,
Bodega Sommos,Chardonnay Roble,2020,"3,7",193,España,Somontano,"5,30",Vino blanco,,
El Casetero,Macabeo Campo de Borja,2019,"3,7",71,España,Campo de Borja,"5,30",Vino blanco,,
Baltasar Gracián,El Discreto Viura - Garnacha,2020,"3,7",36,España,Calatayud,"5,30",Vino blanco,,
El Casetero,Selección Garnacha,2018,"3,7",609,España,Campo de Borja,"5,30",Vino tinto,,
Baltasar Gracián,El Politico Garnacha,2020,"3,7",61,España,Calatayud,"5,30",Vino tinto,,
Celler Masroig,Solà Fred,2020,"3,6",124,España,Montsant,"5,31",Vino tinto,,
Marqués de Cáceres,Rioja Rosado,2021,"3,6",248,España,Rioja,"5,32",Vino rosado,,
Volver,Madame Bobalu Bobal,2020,"3,7",55,España,Valencia,"5,32",Vino tinto,,
Bach,Chardonnay,2019,"3,6",22,España,Cataluña,"5,35",Vino blanco,,
Bodegas del Muni,Corpus del Muni Lucia Selección Tempranillo,2015,"3,6",99,España,Castilla,"5,37",Vino tinto,,
Marqués de Cáceres,Rioja Blanco,2021,"3,6",270,España,Rioja,"5,40",Vino blanco,,
Ederra,Rioja Crianza,2018,"3,6",430,España,Rioja,"5,40",Vino tinto,,
Marqués de Cáceres,Rioja Blanco,2020,"3,7",914,España,Rioja,"5,40",Vino blanco,,
Shaya,Vidilla Verdejo Ecológico,2020,"3,7",78,España,Rueda,"5,40",Vino blanco,,
Bodegas Olarra,Reciente Tempranillo Rioja,2021,"3,6",26,España,Rioja,"5,40",Vino tinto,,
Venta La Vega - Bodegas Almanseñas,Adaras Lluvia,2021,"4,0",35,España,Castilla,"5,40",Vino blanco,,
El Miracle,120 Anniversary Tinto,2020,"3,8",10,España,Valencia,"5,40",Vino tinto,,
Pere Guardiola,Floresta Blanco,2021,"3,7",15,España,Empordà,"5,41",Vino blanco,,
Castillo Perelada,Cava Semi Sec,9386,"3,6",803,España,Cava,"5,42",Vino espumoso,,
El Coto,Crianza,2018,"3,7",1122,España,Rioja Alavesa,"5,42",Vino tinto,,
Castillo de Monjardin,Finca Las Cañas Tinto,2018,"3,7",13,España,Navarra,"5,43",Vino tinto,,
Castillo de Monjardin,Rosado De Lágrima Vendimia Nocturna,2021,"3,8",51,España,Navarra,"5,43",Vino de postre,,
Castillo Perelada,Empordà Jardins Rosé,2020,"3,6",23,España,Empordà,"5,45",Vino rosado,,
Analivia,Blanco,2020,"3,6",29,España,Rueda,"5,45",Vino blanco,,
Cune (CVNE),Verdejo,2021,"3,6",278,España,Rueda,"5,45",Vino blanco,,
Codorníu,Gran Crémant Cava Semi-Sec,6067,"3,7",65,España,Cava,"5,45",Vino espumoso,,
Ederra,Verdejo Rueda,2021,"3,6",38,España,Rueda,"5,45",Vino blanco,,
Naia,K-Naia,2021,"3,8",280,España,Rueda,"5,45",Vino blanco,,
Aldeya,Garnacha,2020,"3,7",67,España,Cariñena,"5,45",Vino tinto,,
Vol I Dol,Blanc,2019,"3,6",162,España,Cataluña,"5,45",Vino blanco,,
Cyatho,Rueda Verdejo,2021,"3,6",71,España,Rueda,"5,45",Vino blanco,,
Segura Viudas,Rosat,2019,"3,8",20,España,Cataluña,"5,45",Vino rosado,,
Bodegas Care,Tinto Sobre Lías Garnacha - Syrah,2020,"3,7",218,España,Cariñena,"5,48",Vino tinto,,
Laudum,XII Plus Monastrell,2017,"3,7",45,España,Valencia,"5,49",Vino tinto,,
Familia Torres,Coronas Crianza,2019,"3,6",185,España,Cataluña,"5,49",Vino tinto,,
Bodegas Paco Mulero,Prisma Garnacha Tintorera - Monastrell,2020,"3,7",46,España,Almansa,"5,50",Vino tinto,,
Bodegas Fontana,Dominio de Fontana Garnacha - Syrah,2019,"3,6",46,España,Uclés,"5,50",Vino tinto,,
Bodegas Paco Mulero,Prisma Monastrell,2020,"3,9",108,España,Jumilla,"5,50",Vino tinto,,
Félix Solís,Mucho Más Blanco,5401,"4,0",8801,España,Castilla,"5,50",Vino blanco,,
Félix Solís,Mucho Más Tinto,8779,"4,2",37401,España,Vino de España,,Vino tinto,,
Valdecuevas,Flor Innata Verdejo,2021,"3,7",34,España,Rueda,"5,50",Vino blanco,,
Crestissimo,Moscato de Aguja,3797,"3,6",118,España,Empordà,"5,50",Vino espumoso,,
Marqués de Cáceres,Rueda Verdejo,2021,"3,7",441,España,Rueda,"5,50",Vino blanco,,
Bodegas Fontana,Dominio de Fontana Roble Tempranillo - Syrah,2020,"3,7",33,España,Castilla,"5,50",Vino tinto,,
Castillo de Monjardin,Clásico Tempranillo,2020,"3,6",39,España,Navarra,"5,50",Vino tinto,,
Palacio de Arganza,Tinto,2019,"3,7",18,España,Castilla y León,"5,50",Vino tinto,,
Viñas del Vero,Marigüena,2019,"3,7",13,España,Somontano,"5,50",Vino blanco,,
Sumarroca,Nostrat Blanc de Blancs,2021,"3,6",78,España,Penedès,"5,50",Vino blanco,,
Bodegas Paco Mulero,Prisma Garnacha,2019,"3,9",29,España,Calatayud,"5,50",Vino tinto,,
Bodegas Paco Mulero,Prisma Verdejo,2020,"3,8",47,España,Rueda,"5,50",Vino blanco,,
Campo Viejo,Crianza,2018,"3,7",1468,España,Rioja,"5,50",Vino tinto,,
Bodegas Paco Mulero,Prisma Tempranillo,2019,"3,6",12,España,Rioja,"5,50",Vino tinto,,
Borsao Bodegas,Bole,2017,"3,8",443,España,Campo de Borja,"5,50",Vino tinto,,
Honoro Vera,Monastrell,2020,"3,9",121,España,Jumilla,"5,50",Vino tinto,,
Altos Ibéricos,Crianza,2016,"3,8",8155,España,Rioja,"5,53",Vino tinto,,
Equilibrio,Sauvignon Blanc,2021,"3,8",23,España,Jumilla,"5,55",Vino blanco,,
Laus,Blanco,2020,"3,6",55,España,Somontano,"5,55",Vino blanco,,
Honoro Vera,Organic Monastrell,2020,"3,7",372,España,Jumilla,"5,55",Vino tinto,,
Barahonda,Carro,2019,"3,7",370,España,Yecla,"5,55",Vino tinto,,
Finca Antigua,Viura,2020,"3,7",36,España,La Mancha,"5,60",Vino blanco,,
Finca Los Aljibes,Viña Aljibes Syrah Rosado,2019,"3,7",22,España,Castilla,"5,60",Vino rosado,,
Joan Sardà,Blanc Mariner,2021,"3,6",131,España,Penedès,"5,60",Vino blanco,,
Orowines,Comoloco Monastrell,2019,"3,7",307,España,Jumilla,"5,60",Vino tinto,,
Bodega Sommos,Syrah - Garnacha Rosé,2021,"3,8",31,España,Somontano,"5,60",Vino rosado,,
Bodegas Faustino,VII Tempranillo,2018,"3,7",7618,España,Rioja,"5,60",Vino tinto,,
Tridente,Gota de Arena,2019,"3,6",118,España,Castilla y León,"5,60",Vino tinto,,
Aldonia,Vendimia,2019,"3,7",53,España,Rioja,"5,61",Vino tinto,,
Bodegas Olarra,Añares Crianza Rioja,2019,"3,7",115,España,Rioja,"5,61",Vino tinto,,
Lan,Duquesa De Valladolid Verdejo Rueda,2021,"3,8",64,España,Rueda,"5,65",Vino blanco,,
Honoro Vera,Rioja,2020,"3,9",43,España,Rioja,"5,65",Vino tinto,,
La Maldita,Garnacha,2020,"3,6",585,España,Rioja,"5,65",Vino tinto,,
Hacienda López de Haro,Tempranillo,2020,"3,7",30,España,Rioja,"5,65",Vino tinto,,
Atalaya,Laya,2020,"3,7",1907,España,Almansa,"5,65",Vino tinto,,
Bodegas Javier San Pedro Ortega,Cueva de Lobos Joven,2021,"3,9",32,España,Rioja,"5,65",Vino tinto,,
Bodegas Care,Rosado,2020,"3,8",117,España,Cariñena,"5,66",Vino rosado,,
Antonio Montero,Colleita,2021,"3,6",60,España,Ribeiro,"5,70",Vino blanco,,
Honoro Vera,Rioja,2019,"3,7",352,España,Rioja,"5,70",Vino tinto,,
Marqués de Cáceres,Rioja Rosado,2020,"3,6",565,España,Rioja,"5,70",Vino rosado,,
Honoro Vera,Rosé,2021,"3,7",40,España,Jumilla,"5,75",Vino rosado,,
Analivia,Verdejo Selección,2021,"3,8",99,España,Rueda,"5,75",Vino blanco,,
Sant Pere Moixent,Tinto,2020,"3,6",10,España,Valencia,"5,75",Vino tinto,,
Celler Masroig,Solà Fred,2021,"3,9",34,España,Montsant,"5,75",Vino tinto,,
Corona de Aragón,Crianza,2017,"3,7",21,España,Aragón,"5,75",Vino tinto,,
Garriguella,Puntils Blanc,2021,"3,6",24,España,Empordà,"5,75",Vino blanco,,
Honoro Vera,Rosé,2020,"3,6",203,España,Jumilla,"5,75",Vino rosado,,
Luna Beberide,Mencía Bierzo,2020,"3,6",118,España,Bierzo,"5,75",Vino tinto,,
Honoro Vera,Monastrell,2019,"3,9",285,España,Jumilla,"5,75",Vino tinto,,
Bodegas Valdemar,Conde de Valdemar Blanco,2020,"3,7",124,España,Rioja,"5,80",Vino blanco,,
Celler de Capçanes,Mas Donis Blanc,2019,"3,7",85,España,Montsant,"5,80",Vino blanco,,
Sierra Salinas,MO Monastrell,2017,"3,7",80,España,Alicante,"5,80",Vino tinto,,
Bodegas Valdemar,Conde de Valdemar Blanco,2019,"3,8",112,España,Rioja,"5,80",Vino blanco,,
Gran Feudo,Edición Chardonnay,2021,"3,6",35,España,Navarra,"5,80",Vino blanco,,
Buenos Días,La Bañista Verdejo,2021,"4,0",12,España,Rueda,"5,80",Vino blanco,,
Terra Terrae,White Blend,2019,"3,7",18,España,Cataluña,"5,83",Vino blanco,,
Palacio de Bornos,Verdejo,2020,"3,6",283,España,Rueda,"5,83",Vino blanco,,
Martin Berdugo,Rosado,2020,"3,7",29,España,Ribera del Duero,"5,84",Vino rosado,,
Viña Bujanda,Rioja Crianza,2018,"3,7",260,España,Rioja,"5,85",Vino tinto,,
De Moya,Tibó Blanco,2020,"3,8",64,España,Valencia,"5,85",Vino blanco,,
Monopole,Siglo XXI Verdejo,2021,"3,6",37,España,Rueda,"5,85",Vino blanco,,
Barahonda,Carro,2020,"3,8",76,España,Yecla,"5,85",Vino tinto,,
Juan Gil,Jumilla Yellow Label,2021,"3,9",74,España,Jumilla,"5,90",Vino tinto,,
Ca N'Estella,Cava Rabetllat i Vidal Brut,0641,"3,7",452,España,Cava,"5,86",Vino espumoso,,
Varias,Pere Punyetes Blanc,2021,"3,7",12,España,Penedès,"5,87",Vino blanco,,
Celler Batea,Primicia Criança,2019,"3,7",28,España,Terra Alta,"5,87",Vino tinto,,
Bodegas Fontana,Dominio de Fontana Roble Tempranillo - Syrah,2019,"3,7",95,España,Castilla,"5,90",Vino tinto,,
Soto y Manrique,La Transición Garnacha,2019,"3,7",30,España,Castilla y León,"5,90",Vino tinto,,
Viore,5 Meses en Barrica Tinto,2017,"3,6",39,España,Toro,"5,90",Vino tinto,,
Barahonda,Organic Monastrell - Merlot,2019,"3,8",364,España,Yecla,"5,90",Vino tinto,,
